Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Scientific Name	Confidence	File
1	Spectrogram 1	1	3.0	9.0	300	15000	American Bullfrog	American Bullfrog	0.5044	20230620_080000.wav
2	Spectrogram 1	1	30.0	33.0	300	15000	Pacific Tree	Pacific Tree	0.6066	20230620_080000.wav
3	Spectrogram 1	1	33.0	36.0	300	15000	American Bullfrog	American Bullfrog	0.5147	20230620_080000.wav
4	Spectrogram 1	1	33.0	69.0	300	15000	Pacific Tree	Pacific Tree	0.5200	20230620_080000.wav
5	Spectrogram 1	1	69.0	75.0	300	15000	American Bullfrog	American Bullfrog	0.5516	20230620_080000.wav
6	Spectrogram 1	1	75.0	78.0	300	15000	Pacific Tree	Pacific Tree	0.6000	20230620_080000.wav
7	Spectrogram 1	1	78.0	84.0	300	15000	American Bullfrog	American Bullfrog	0.5390	20230620_080000.wav
8	Spectrogram 1	1	87.0	108.0	300	15000	Pacific Tree	Pacific Tree	0.5367	20230620_080000.wav
9	Spectrogram 1	1	108.0	114.0	300	15000	American Bullfrog	American Bullfrog	0.5131	20230620_080000.wav
10	Spectrogram 1	1	114.0	126.0	300	15000	Pacific Tree	Pacific Tree	0.4712	20230620_080000.wav
11	Spectrogram 1	1	129.0	135.0	300	15000	American Bullfrog	American Bullfrog	0.5026	20230620_080000.wav
12	Spectrogram 1	1	135.0	138.0	300	15000	Pacific Tree	Pacific Tree	0.5084	20230620_080000.wav
13	Spectrogram 1	1	138.0	141.0	300	15000	American Bullfrog	American Bullfrog	0.5211	20230620_080000.wav
14	Spectrogram 1	1	141.0	144.0	300	15000	Pacific Tree	Pacific Tree	0.4018	20230620_080000.wav
15	Spectrogram 1	1	153.0	159.0	300	15000	American Bullfrog	American Bullfrog	0.5145	20230620_080000.wav
16	Spectrogram 1	1	156.0	159.0	300	15000	Pacific Tree	Pacific Tree	0.4014	20230620_080000.wav
17	Spectrogram 1	1	162.0	168.0	300	15000	American Bullfrog	American Bullfrog	0.4895	20230620_080000.wav
18	Spectrogram 1	1	165.0	168.0	300	15000	Pacific Tree	Pacific Tree	0.4279	20230620_080000.wav
19	Spectrogram 1	1	168.0	174.0	300	15000	American Bullfrog	American Bullfrog	0.4993	20230620_080000.wav
20	Spectrogram 1	1	174.0	177.0	300	15000	Pacific Tree	Pacific Tree	0.4139	20230620_080000.wav
21	Spectrogram 1	1	177.0	186.0	300	15000	American Bullfrog	American Bullfrog	0.5210	20230620_080000.wav
22	Spectrogram 1	1	183.0	207.0	300	15000	Pacific Tree	Pacific Tree	0.5004	20230620_080000.wav
23	Spectrogram 1	1	207.0	210.0	300	15000	American Bullfrog	American Bullfrog	0.4513	20230620_080000.wav
24	Spectrogram 1	1	210.0	225.0	300	15000	Pacific Tree	Pacific Tree	0.4724	20230620_080000.wav
25	Spectrogram 1	1	225.0	228.0	300	15000	American Bullfrog	American Bullfrog	0.4736	20230620_080000.wav
26	Spectrogram 1	1	228.0	234.0	300	15000	Pacific Tree	Pacific Tree	0.4838	20230620_080000.wav
27	Spectrogram 1	1	234.0	237.0	300	15000	American Bullfrog	American Bullfrog	0.4686	20230620_080000.wav
28	Spectrogram 1	1	243.0	252.0	300	15000	Pacific Tree	Pacific Tree	0.4798	20230620_080000.wav
29	Spectrogram 1	1	252.0	255.0	300	15000	American Bullfrog	American Bullfrog	0.4210	20230620_080000.wav
30	Spectrogram 1	1	255.0	261.0	300	15000	Pacific Tree	Pacific Tree	0.5487	20230620_080000.wav
31	Spectrogram 1	1	258.0	270.0	300	15000	American Bullfrog	American Bullfrog	0.4466	20230620_080000.wav
32	Spectrogram 1	1	267.0	273.0	300	15000	Pacific Tree	Pacific Tree	0.4962	20230620_080000.wav
33	Spectrogram 1	1	273.0	276.0	300	15000	American Bullfrog	American Bullfrog	0.5222	20230620_080000.wav
34	Spectrogram 1	1	276.0	309.0	300	15000	Pacific Tree	Pacific Tree	0.5254	20230620_080000.wav
35	Spectrogram 1	1	309.0	348.0	300	15000	Pacific Tree	Pacific Tree	0.4961	20230620_080000.wav
